mission,direction,heure_re_sceaux,delta_sceaux,heure_re_antony,delta_antony,heure_re_bourg_la_reine,delta_bourg_la_reine,heure_re_chatelet,delta_chatelet,heure_re_aulnay,delta_aulnay,heure_re_cdg1,delta_cdg1,heure_re_vert_galant,delta_vert_galant
SORI40,Sud,2026-04-17 09:55:36+02:00,15.0,,,2026-04-17 09:53:24+02:00,7.0,2026-04-17 09:32:07+02:00,3.0,2026-04-17 09:10:00+02:00,3.0,,,2026-04-17 09:03:00+02:00,9.0
PIER42,Sud,,,2026-04-17 09:59:12+02:00,7.0,2026-04-17 09:54:32+02:00,1.0,2026-04-17 09:38:07+02:00,6.0,2026-04-17 09:15:50+02:00,6.0,2026-04-17 09:02:00+02:00,6.0,,
KARI44,Sud,,,2026-04-17 10:07:00+02:00,8.0,2026-04-17 10:01:44+02:00,7.0,2026-04-17 09:41:07+02:00,3.0,2026-04-17 09:19:50+02:00,4.0,2026-04-17 09:07:40+02:00,6.0,,
PIER48,Sud,,,2026-04-17 10:14:12+02:00,7.0,2026-04-17 10:09:32+02:00,8.0,2026-04-17 09:53:07+02:00,12.0,2026-04-17 09:30:50+02:00,11.0,2026-04-17 09:14:40+02:00,7.0,,
SOSI40,Sud,2026-04-17 07:27:23+02:00,13.0,,,2026-04-17 07:25:21+02:00,5.0,,,,,,,,
KOCQ32,Sud,,,2026-04-17 07:09:58+02:00,,,,,,,,,,,
PROC30,Sud,,,,,,,,,,,,,,
PROC24,Sud,,,,,,,,,,,,,,
PROC12,Sud,,,,,,,,,,,,,,
PLIC36,Sud,,,2026-04-17 07:15:45+02:00,6.0,2026-04-17 07:11:35+02:00,,,,,,,,,
PUMA38,Sud,,,2026-04-17 07:25:40+02:00,10.0,2026-04-17 07:19:59+02:00,8.0,,,,,,,,
LORE42,Sud,,,2026-04-17 07:34:01+02:00,8.0,2026-04-17 07:29:11+02:00,4.0,,,,,,,,
SOSI34,Sud,2026-04-17 07:14:17+02:00,,,,2026-04-17 07:12:15+02:00,1.0,,,,,,,,
