mission,direction,heure_th_sceaux,delta_sceaux,heure_th_antony,delta_antony,heure_th_bourg_la_reine,delta_bourg_la_reine,heure_th_chatelet,delta_chatelet,heure_th_aulnay,delta_aulnay,heure_th_cdg1,delta_cdg1,heure_th_vert_galant,delta_vert_galant
ERIC77,Nord,,,2026-04-16 10:42:09+02:00,7.0,2026-04-16 10:47:47+02:00,6.0,2026-04-16 11:08:00+02:00,6.0,2026-04-16 11:27:10+02:00,3.0,2026-04-16 11:39:30+02:00,8.0,,
EPAF79,Nord,,,2026-04-16 10:50:19+02:00,8.0,2026-04-16 10:54:46+02:00,7.0,2026-04-16 11:11:00+02:00,3.0,2026-04-16 11:33:10+02:00,6.0,2026-04-16 11:46:50+02:00,7.0,,
ILOT81,Nord,2026-04-16 10:54:38+02:00,15.0,,,2026-04-16 10:56:41+02:00,2.0,2026-04-16 11:17:00+02:00,6.0,2026-04-16 11:39:20+02:00,6.0,,,2026-04-16 11:45:30+02:00,15.0
ERIC83,Nord,,,2026-04-16 10:57:09+02:00,7.0,2026-04-16 11:02:47+02:00,6.0,2026-04-16 11:23:00+02:00,6.0,2026-04-16 11:42:10+02:00,3.0,2026-04-16 11:54:30+02:00,8.0,,
EPAF85,Nord,,,2026-04-16 11:05:19+02:00,8.0,2026-04-16 11:09:46+02:00,7.0,2026-04-16 11:26:00+02:00,3.0,2026-04-16 11:48:10+02:00,6.0,2026-04-16 12:01:50+02:00,7.0,,
ILOT87,Nord,2026-04-16 11:09:38+02:00,15.0,,,2026-04-16 11:11:41+02:00,2.0,2026-04-16 11:32:00+02:00,6.0,2026-04-16 11:54:20+02:00,6.0,,,2026-04-16 12:00:30+02:00,15.0
ERIC89,Nord,,,2026-04-16 11:12:09+02:00,7.0,2026-04-16 11:17:47+02:00,6.0,2026-04-16 11:38:00+02:00,6.0,2026-04-16 11:57:10+02:00,3.0,2026-04-16 12:09:30+02:00,8.0,,
EPAF91,Nord,,,2026-04-16 11:20:19+02:00,8.0,2026-04-16 11:24:46+02:00,7.0,2026-04-16 11:41:00+02:00,3.0,2026-04-16 12:03:10+02:00,6.0,2026-04-16 12:16:50+02:00,7.0,,
ILOT93,Nord,2026-04-16 11:24:38+02:00,15.0,,,2026-04-16 11:26:41+02:00,2.0,2026-04-16 11:47:00+02:00,6.0,2026-04-16 12:09:20+02:00,6.0,,,2026-04-16 12:15:50+02:00,15.0
ERIC95,Nord,,,2026-04-16 11:27:09+02:00,7.0,2026-04-16 11:32:47+02:00,6.0,2026-04-16 11:53:00+02:00,6.0,2026-04-16 12:12:10+02:00,3.0,2026-04-16 12:24:30+02:00,8.0,,
EPAF97,Nord,,,2026-04-16 11:35:19+02:00,8.0,2026-04-16 11:39:46+02:00,7.0,2026-04-16 11:56:00+02:00,3.0,2026-04-16 12:18:10+02:00,6.0,2026-04-16 12:31:50+02:00,7.0,,
