date_observation,direction,ecart_moyen,ecart_median,ecart_max
2026-04-14 06:30:07.555781,Sud,0.3888888888888889,0.0,5
2026-04-14 06:35:06.872387,Nord,0.07142857142857142,0.0,1
2026-04-14 06:35:06.872387,Sud,0.375,0.0,4
2026-04-14 06:40:07.956207,Nord,0.14285714285714285,0.0,1
2026-04-14 06:40:07.956207,Sud,0.6,0.0,4
2026-04-14 06:45:06.680236,Nord,0.2,0.0,1
2026-04-14 06:45:06.680236,Sud,0.6666666666666666,0.0,4
2026-04-14 06:50:07.519840,Nord,0.3333333333333333,0.0,1
2026-04-14 06:50:07.519840,Sud,0.8421052631578947,1.0,4
2026-04-14 06:55:06.579129,Nord,0.2,0.0,1
2026-04-14 06:55:06.579129,Sud,0.8636363636363636,1.0,4
2026-04-14 07:00:07.655694,Nord,0.25,0.0,1
2026-04-14 07:00:07.655694,Sud,1.0,0.5,5
2026-04-14 07:05:05.990655,Nord,0.26666666666666666,0.0,1
2026-04-14 07:05:05.990655,Sud,1.0454545454545454,1.0,5
2026-04-14 07:10:07.286355,Nord,0.3333333333333333,0.0,2
2026-04-14 07:10:07.286355,Sud,1.1666666666666667,1.0,4
2026-04-14 07:15:08.944609,Nord,0.3333333333333333,0.0,3
2026-04-14 07:15:08.944609,Sud,0.7692307692307693,0.5,4
2026-04-14 07:20:07.019812,Nord,0.4,0.0,3
2026-04-14 07:20:07.019812,Sud,0.8461538461538461,1.0,4
2026-04-14 07:25:08.439389,Nord,0.5238095238095238,0.0,5
2026-04-14 07:25:08.439389,Sud,0.84,1.0,4
2026-04-14 07:30:07.654864,Nord,0.6190476190476191,0.0,5
2026-04-14 07:30:07.654864,Sud,0.9259259259259259,1.0,4
2026-04-14 07:35:07.166092,Nord,0.35,0.0,2
2026-04-14 07:35:07.166092,Sud,1.0769230769230769,1.0,4
2026-04-14 07:40:06.546724,Nord,0.38095238095238093,0.0,2
2026-04-14 07:40:06.546724,Sud,1.103448275862069,1.0,4
2026-04-14 07:45:07.893857,Nord,0.9090909090909091,0.0,5
2026-04-14 07:45:07.893857,Sud,1.0333333333333332,1.0,4
2026-04-14 07:50:07.362514,Nord,1.1304347826086958,1.0,5
2026-04-14 07:50:07.362514,Sud,1.3333333333333333,1.0,4
2026-04-14 07:55:07.098602,Nord,1.1818181818181819,1.0,5
2026-04-14 07:55:07.098602,Sud,1.3666666666666667,1.0,4
2026-04-14 08:00:08.063567,Nord,1.1363636363636365,0.5,5
2026-04-14 08:00:08.063567,Sud,1.1785714285714286,1.0,4
2026-04-14 08:05:06.769032,Nord,1.4,1.0,5
2026-04-14 08:05:06.769032,Sud,1.2,1.0,4
2026-04-14 08:10:07.737373,Nord,1.6666666666666667,1.0,5
2026-04-14 08:10:07.737373,Sud,1.25,1.0,4
2026-04-14 08:15:07.722495,Nord,1.7619047619047619,1.0,6
2026-04-14 08:15:07.722495,Sud,1.4137931034482758,1.0,4
2026-04-14 08:20:08.558221,Nord,1.9,1.5,6
2026-04-14 08:20:08.558221,Sud,1.6206896551724137,1.0,4
2026-04-14 08:25:07.642111,Nord,2.2777777777777777,2.5,5
2026-04-14 08:25:07.642111,Sud,2.0,2.0,5
2026-04-14 08:30:07.261686,Nord,2.9411764705882355,2.0,7
2026-04-14 08:30:07.261686,Sud,2.1785714285714284,3.0,5
2026-04-14 08:35:07.128992,Nord,3.611111111111111,4.5,7
2026-04-14 08:35:07.128992,Sud,2.607142857142857,3.0,8
2026-04-14 08:40:07.479410,Nord,3.736842105263158,4.0,9
2026-04-14 08:40:07.479410,Sud,3.2142857142857144,3.0,9
2026-04-14 08:45:06.392712,Nord,4.052631578947368,4.0,10
2026-04-14 08:45:06.392712,Sud,3.851851851851852,3.0,14
2026-04-14 08:50:07.474573,Nord,4.611111111111111,6.0,10
2026-04-14 08:50:07.474573,Sud,4.269230769230769,3.0,15
2026-04-14 08:55:06.701103,Nord,4.3,5.0,10
2026-04-14 08:55:06.701103,Sud,5.08,3.0,15
2026-04-14 09:00:06.988994,Nord,4.473684210526316,4.0,11
2026-04-14 09:00:06.988994,Sud,5.115384615384615,3.0,19
2026-04-14 09:05:05.970302,Nord,5.277777777777778,5.0,12
2026-04-14 09:05:05.970302,Sud,5.826086956521739,3.0,16
2026-04-14 09:10:07.106859,Nord,5.222222222222222,5.0,12
2026-04-14 09:10:07.106859,Sud,7.318181818181818,7.0,21
2026-04-14 09:15:08.754784,Nord,5.833333333333333,7.0,12
2026-04-14 09:15:08.754784,Sud,7.541666666666667,5.5,21
2026-04-14 09:20:07.789886,Nord,6.0,7.0,12
